Organization Name,Emission Year,Facility Name,Source Name,Activity Type,Fuel Type,Fuel,End Use Sector,Technology,CO2e
California Coastal Commission,2010,Legislative Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,3.26359
California Coastal Commission,2010,North Coast District Office (previous location),Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,11.98554
California Coastal Commission,2010,South Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,36.83348
California Coastal Commission,2010,South Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,32.54027
California Coastal Commission,2010,South Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,2.65101
California Coastal Commission,2011,Central Coast Basement Storage Unit,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,1.96126
California Coastal Commission,2011,Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,17.68664
California Coastal Commission,2011,Fleet - Ford Taurus 2000 - Long Beach,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),1.0622
California Coastal Commission,2011,Fleet - Ford Taurus 2001 - San Diego,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),3.98489
California Coastal Commission,2011,Fleet - GMC Safari 2000 - San Diego,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),0.56912
California Coastal Commission,2011,Fleet - Honda Accord 2002 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),3.09916
California Coastal Commission,2011,Fleet - Jeep Cherokee 2000 - Eureka/Arcata,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),3.41805
California Coastal Commission,2011,Fleet - Jeep Cherokee 2001 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),4.51011
California Coastal Commission,2011,Headquarters Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,145.46601
California Coastal Commission,2011,Headquarters Storage Area,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,8.42101
California Coastal Commission,2011,Legislative Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,3.26359
California Coastal Commission,2011,North Coast District Office (previous location),Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,11.98554
California Coastal Commission,2011,South Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,36.83348
California Coastal Commission,2011,South Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,32.55197
California Coastal Commission,2011,South Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,2.48586
California Coastal Commission,2012,Central Coast Basement Storage Unit,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,1.96126
California Coastal Commission,2012,Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,17.03552
California Coastal Commission,2012,Fleet - Ford Taurus 2000 - Long Beach,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),1.36722
California Coastal Commission,2012,Fleet - Ford Taurus 2001 - San Diego,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),3.74801
California Coastal Commission,2012,Fleet - GMC Safari 2000 - San Diego,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),0.10931
California Coastal Commission,2012,Fleet - Honda Accord 2002 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),3.72237
California Coastal Commission,2012,Fleet - Jeep Cherokee 2000 - Eureka/Arcata,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),2.75516
California Coastal Commission,2012,Fleet - Jeep Cherokee 2001 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),3.22823
California Coastal Commission,2012,Headquarters Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,145.46601
California Coastal Commission,2012,Headquarters Storage Area,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,2.10526
California Coastal Commission,2012,Legislative Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,3.26359
California Coastal Commission,2012,North Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,1.97597
California Coastal Commission,2012,North Coast District Office (previous location),Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,11.98554
California Coastal Commission,2012,South Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,36.83348
California Coastal Commission,2012,South Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,35.41835
California Coastal Commission,2012,South Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,5.67549
California Coastal Commission,2013,Central Coast Basement Storage Unit,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,1.96126
California Coastal Commission,2013,Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,17.67705
California Coastal Commission,2013,Fleet - Ford Taurus 2000 - Long Beach,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),0.80495
California Coastal Commission,2013,Fleet - Ford Taurus 2001 - San Diego,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),4.15022
California Coastal Commission,2013,Fleet - Honda Accord 2002 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),3.60507
California Coastal Commission,2013,Fleet - Jeep Cherokee 2000 - Eureka/Arcata,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),0.91874
California Coastal Commission,2013,Fleet - Jeep Cherokee 2001 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),3.77663
California Coastal Commission,2013,Headquarters Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,145.46601
California Coastal Commission,2013,Legislative Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,3.26359
California Coastal Commission,2013,North Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,4.81214
California Coastal Commission,2013,North Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,0.94235
California Coastal Commission,2013,North Coast District Office (previous location),Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,1.4982
California Coastal Commission,2013,South Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,28.65856
California Coastal Commission,2013,South Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,38.12452
California Coastal Commission,2013,South Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,3.00697
California Coastal Commission,2014,Central Coast Basement Storage Unit,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,1.961269587
California Coastal Commission,2014,Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,16.20648999
California Coastal Commission,2014,Fleet - Ford Taurus 2000 - Long Beach,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),1.9466138
California Coastal Commission,2014,Fleet - Ford Taurus 2001 - San Diego,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),3.551071
California Coastal Commission,2014,Fleet - Honda Accord 2002 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),3.1662436
California Coastal Commission,2014,Fleet - Jeep Cherokee 2000 - Eureka/Arcata,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),2.8184678
California Coastal Commission,2014,Fleet - Jeep Cherokee 2001 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),3.4767922
California Coastal Commission,2014,Headquarters Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,145.4660163
California Coastal Commission,2014,Legislative Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,1.760897506
California Coastal Commission,2014,Legislative Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,0.184662024
California Coastal Commission,2014,North Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,4.586764266
California Coastal Commission,2014,North Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,0.444139876
California Coastal Commission,2014,North Coast District Office (previous location),Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,
California Coastal Commission,2014,South Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,10.8396283
California Coastal Commission,2014,South Central Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,1.003824645
California Coastal Commission,2014,South Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,39.2656235
California Coastal Commission,2014,South Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,
California Conservation Corps,2010,All Properties,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,736.98944
California Conservation Corps,2010,All Properties,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,326.6702
California Conservation Corps,2010,All Properties,Propane Gas,Stationary Combustion - Scope 1,Petroleum Products,LPG (average for fuel use),Commercial,Unspecified Technology,161.58556
California Conservation Corps,2010,Fleet,E-85,Mobile Biomass Combustion - Biomass,Biofuels,Ethanol,Light Duty Vehicles,Unspecified Technology,0.23575
California Conservation Corps,2010,Fleet,CNG,Mobile Combustion - Scope 1,Alternative Fuels,Compressed Natural Gas (CNG),Light Duty Vehicles,Unspecified Technology,78.62102892
California Conservation Corps,2010,Fleet,Unleaded Gas,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)",Uncontrolled,2112.6875
California Conservation Corps,2010,Fleet,Diesel,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Uncontrolled,263.85703
California Conservation Corps,2011,All Properties,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,684.9892
California Conservation Corps,2011,All Properties,Propane Gas,Stationary Combustion - Scope 1,Petroleum Products,LPG (average for fuel use),Commercial,Unspecified Technology,216.63447
California Conservation Corps,2011,All Properties,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,"1,025 - 1,035 Btu / SCF",Commercial,Unspecified Technology,342.08828
California Conservation Corps,2011,Fleet,E-85,Mobile Biomass Combustion - Biomass,Biofuels,Ethanol,Light Duty Vehicles,Unspecified Technology,1.2075
California Conservation Corps,2011,Fleet,CNG,Mobile Combustion - Scope 1,Alternative Fuels,Compressed Natural Gas (CNG),Light Duty Vehicles,Unspecified Technology,106.9256938
California Conservation Corps,2011,Fleet,Unleaded Gas,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)",Uncontrolled,2193.04206
California Conservation Corps,2011,Fleet,Diesel,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Uncontrolled,250.41046
California Conservation Corps,2012,All Properties,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,742.41735
California Conservation Corps,2012,All Properties,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,"1,025 - 1,035 Btu / SCF",Commercial,Unspecified Technology,340.72321
California Conservation Corps,2012,All Properties,Propane Gas,Stationary Combustion - Scope 1,Petroleum Products,LPG (average for fuel use),Commercial,Unspecified Technology,179.90856
California Conservation Corps,2012,Fleet,E-85,Mobile Biomass Combustion - Biomass,Biofuels,Ethanol,Light Duty Vehicles,Unspecified Technology,2.11025
California Conservation Corps,2012,Fleet,Unleaded Gas,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)",Uncontrolled,2296.83922
California Conservation Corps,2012,Fleet,Diesel,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Uncontrolled,141.35745
California Conservation Corps,2012,Fleet,CNG,Mobile Combustion - Scope 1,Alternative Fuels,Compressed Natural Gas (CNG),Light Duty Vehicles,Unspecified Technology,89.97572772
California Conservation Corps,2013,All Properties,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,695.0558388
California Conservation Corps,2013,All Properties,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,"1,025 - 1,035 Btu / SCF",Commercial,Unspecified Technology,305.75163
California Conservation Corps,2013,All Properties,Propane Gas,Stationary Combustion - Scope 1,Petroleum Products,LPG (average for fuel use),Commercial,Unspecified Technology,143.8895647
California Conservation Corps,2013,Fleet,E-85,Mobile Biomass Combustion - Biomass,Biofuels,Ethanol,Light Duty Vehicles,Unspecified Technology,0.7475
California Conservation Corps,2013,Fleet,Unleaded Gas,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)",Uncontrolled,2393.57726
California Conservation Corps,2013,Fleet,CNG,Mobile Combustion - Scope 1,Alternative Fuels,Compressed Natural Gas (CNG),Light Duty Vehicles,Unspecified Technology,46.56110526
California Conservation Corps,2013,Fleet,Diesel,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Uncontrolled,71.04118
California Conservation Corps,2013,Fleet,E-85,Mobile Combustion - Scope 1,Biofuels,Ethanol,Light Duty Vehicles,Unspecified Technology,0.00285
California Conservation Corps,2014,All Properties,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,663.8473325
California Conservation Corps,2014,All Properties,Propane Gas,Stationary Combustion - Scope 1,Petroleum Products,LPG (average for fuel use),Commercial,Unspecified Technology,136.1701377
California Conservation Corps,2014,All Properties,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,"1,025 - 1,035 Btu / SCF",Commercial,Unspecified Technology,230.4384544
California Conservation Corps,2014,Fleet,E-85,Mobile Biomass Combustion - Biomass,Alternative Fuels,Ethanol,Light Duty Vehicles,Unspecified Technology,0.23
California Conservation Corps,2014,Fleet,Diesel,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Uncontrolled,83.57906
California Conservation Corps,2014,Fleet,Unleaded Gas,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)",Uncontrolled,2746.823
California Conservation Corps,2014,Fleet,CNG,Mobile Combustion - Scope 1,Alternative Fuels,Compressed Natural Gas (CNG),Light Duty Vehicles,Unspecified Technology,31.93680042
California Department of Child Support Services,2010,DCSS - HQ 20,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,532.39495
California Department of Child Support Services,2010,DCSS - HQ 20,Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,5.70896
California Department of Child Support Services,2010,DCSS - HQ 50,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,374.36156
California Department of Child Support Services,2010,DCSS - HQ 50,Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,104.85552
California Department of Child Support Services,2010,Off-Site Storage Unit A,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.08806
California Department of Child Support Services,2010,Off-Site Storage Unit D,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.13643
California Department of Child Support Services,2010,Off-Site Storage Unit F,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.06356
California Department of Child Support Services,2011,DCSS - HQ 20,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,539.71358
California Department of Child Support Services,2011,DCSS - HQ 20,Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,55.48424
California Department of Child Support Services,2011,DCSS - HQ 50,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,395.41987
California Department of Child Support Services,2011,DCSS - HQ 50,Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,60.02908
California Department of Child Support Services,2011,Off-Site Storage Unit A,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.08806
California Department of Child Support Services,2011,Off-Site Storage Unit D,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.15534
California Department of Child Support Services,2011,Off-Site Storage Unit F,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.16525
California Department of Child Support Services,2012,DCSS - HQ 20,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,561.40584
California Department of Child Support Services,2012,DCSS - HQ 20,Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,60.31079
California Department of Child Support Services,2012,DCSS - HQ 50,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,420.34404
California Department of Child Support Services,2012,DCSS - HQ 50,Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,27.27435
California Department of Child Support Services,2012,Off-Site Storage Unit A,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.12777
California Department of Child Support Services,2012,Off-Site Storage Unit D,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.13767
California Department of Child Support Services,2012,Off-Site Storage Unit F,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.24744
California Department of Child Support Services,2013,DCSS - HQ 20,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,550.35545
California Department of Child Support Services,2013,DCSS - HQ 20,Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,50.33874
California Department of Child Support Services,2013,DCSS - HQ 50,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,40.58821
California Department of Child Support Services,2013,DCSS - HQ 50,Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,41.04175
California Department of Child Support Services,2013,Off-Site Storage Unit A,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.15896
California Department of Child Support Services,2013,Off-Site Storage Unit D,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.03299
California Department of Child Support Services,2013,Off-Site Storage Unit F,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.23273
California Department of Child Support Services,2014,DCSS - HQ 20,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,413.8616056
California Department of Child Support Services,2014,DCSS - HQ 20,Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,39.1894932
California Department of Child Support Services,2014,DCSS - HQ 50,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,390.7985739
California Department of Child Support Services,2014,DCSS - HQ 50,Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,34.1305536
California Department of Child Support Services,2014,Off-Site Storage Unit A,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.173029765
California Department of Child Support Services,2014,Off-Site Storage Unit D,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.228666346
California Department of Child Support Services,2014,Off-Site Storage Unit F,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.339939507
California Department of Conservation,2010,Bakerfield (DOGGR),Purchased Electricty,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,40.61041
California Department of Conservation,2010,Coalinga (DOGGR),Purchased Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,8.14532
California Department of Conservation,2010,Coalinga (DOGGR),Gas purchase Therms,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,0.87176
California Department of Conservation,2010,Cypress (DOGGR),Purchased Electricty,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,43.06491
